id,target_skill,should_activate,prompt,reason
A015,dry-run-coach,true,"I have an approach for this problem, I just want to trace it manually on an example to make sure it's right.","Learner already has an approach and wants a manual trace, the core dry-run-coach use case."
A016,dry-run-coach,true,Can you help me build a state table for my two-pointer idea on this input?,Explicit request for the state-table tracing method dry-run-coach teaches.
A017,dry-run-coach,true,I feel confident my sliding window approach works but I've never actually traced it step by step.,Learner wants to verify a mental model through an explicit trace rather than just asserting correctness.
A018,dry-run-coach,false,"I don't have an approach yet for this problem, what should I even try?","No approach exists yet to trace, so this belongs to dsa-tutor instead."
A019,dry-run-coach,false,"My code throws an IndexError on this specific input, can you help me pinpoint why?","Learner already has code and an observed concrete failure, not just an approach to trace conceptually; this is debug-coach's territory."
A020,dry-run-coach,false,What's the time complexity of tracing this loop?,"Complexity derivation question, not a request to trace state for correctness; belongs to complexity-coach."
A021,complexity-coach,true,"I have working code for this problem, can you help me figure out its actual time complexity?","Learner has a working approach and wants Big-O derived from the code's structure, the core complexity-coach use case."
A022,complexity-coach,true,Why is this nested loop not automatically O(n^2)? I want to derive it properly.,Explicit request to derive complexity from loop structure rather than recall a shape.
A023,complexity-coach,true,Can you help me write the recurrence relation for this recursive function and solve it?,"Recurrence-based complexity derivation, a core complexity-coach task."
A024,complexity-coach,false,"I don't know if my approach is even correct yet, let alone its complexity.","Correctness of the approach itself is still in question, which is dsa-tutor's job before complexity-coach applies."
A025,complexity-coach,false,Is my recursive solution actually solving the problem correctly?,"This is a correctness question, not a complexity-derivation question."
A026,mock-interviewer,true,"Can you run me through a timed mock interview for this problem, minimal hints, feedback at the end?","Explicit request for a realistic, time-boxed interview simulation, the core mock-interviewer use case."
A027,mock-interviewer,true,"I want interview practice, act like a real interviewer and don't hand-hold me through it.",Learner explicitly wants scarce hints and interviewer-style pressure rather than incremental tutoring.
A028,mock-interviewer,false,"Can you give me hints as I go, like a tutor would, for this problem?","Learner wants the incremental hint ladder, which is explicitly the opposite mode from mock-interviewer."
A029,mock-interviewer,false,"How would an interviewer typically grade a two-pointer solution to this problem, in general?","A general question about interview rubrics, not a request to run a live timed simulation."
A030,debug-coach,true,"My code returns 0 instead of -1 for this input, and I don't know why. Can you help me find the bug without rewriting it?","Learner has code, a stated expected vs actual output, and explicitly wants the bug isolated without a rewrite — the core debug-coach use case."
A031,debug-coach,true,"This function should reverse a linked list but it's dropping the last node, can you help me trace what's going wrong?",Concrete code with an observed failure and an implied trace-to-find-bug request.
A032,debug-coach,true,"I think there's an off-by-one error somewhere in my loop, can you help me pin down exactly where?",Learner suspects a specific class of bug in existing code and wants it isolated.
A033,debug-coach,false,"I haven't written any code yet, I'm still deciding between a stack and a queue for this.","No code or observed failure exists yet; this is approach design, belonging to dsa-tutor."
A034,debug-coach,false,Can you just rewrite this function for me so it works correctly?,Learner wants a full replacement implementation rather than a bug isolated within their own code; explicitly out of scope for debug-coach.
A035,debug-coach,false,What's the correct syntax for a list comprehension in Python?,Pure syntax question with no observed failing behavior or debugging context involved.
A036,debug-coach,false,"I want to trace my approach on paper before I even write any code, just to see if the logic holds.","No code and no observed failure yet — a conceptual trace of an approach, which is dry-run-coach's job."
A037,none,false,What's a good way to organize my study schedule for interview prep over the next month?,General planning question unrelated to any specific DSA problem or skill in this repository.
A038,none,false,Can you recommend a good book on system design?,"Unrelated to DSA problem-solving, debugging, or interview simulation; no skill here should activate."
A039,none,false,What does the acronym DSA even stand for?,"A general definitional question with no problem, code, or session to engage with."
A040,none,false,Explain what a hash map is at a high level.,"General conceptual explanation request, not tied to a specific problem-solving, decoding, tracing, complexity, interview, or debugging session."
A041,dsa-tutor,true,"I have a rough idea for this problem but I'm not sure it's actually a good approach, can you help me test it?","Learner has a partial approach and wants to develop and validate it through guided questioning, dsa-tutor's core territory even though some tracing may follow."
A042,problem-decoder,true,"This problem statement is really dense, can you help me translate it into plain terms before I try to solve it?","Request to decode a dense problem statement prior to any solving, still squarely problem-decoder even without explicit mention of inputs/outputs."
A043,dry-run-coach,true,I wrote out my approach in plain English but haven't tested it on a single concrete example yet.,"Approach exists conceptually but has never been traced on real input, the entry condition for dry-run-coach."
A044,debug-coach,true,"My binary search almost works but returns the wrong index on arrays with duplicates, here's my code.","Existing code with a specific, partially-correct observed failure — debug-coach territory even though it overlaps conceptually with correctness checking."
A045,complexity-coach,true,"My interviewer said my solution was O(n^2) but I think it's actually O(n log n), can you help me prove it either way?","Dispute over a complexity claim to be derived and justified from the actual code, not just asserted."
A046,mock-interviewer,true,"Give me 30 minutes on a random medium-difficulty array problem, interview conditions.",Explicit time-boxed interview simulation request.
A047,dsa-tutor,false,"Can you generate a completely new, similar problem in the same pattern as this one I just solved?","With a problem already solved, adapting the pattern to a similar problem is pattern-transfer-coach's job; dsa-tutor's own cousin-problem step happens only as the closing move of its full session, not as a standalone activation trigger."
A048,debug-coach,false,"My code has a bug somewhere but I haven't run it against any specific input yet, I just have a bad feeling about it.","No concrete expected-vs-actual failure or specific input exists yet; the learner should be asked to actually run something first, which most naturally starts in dry-run-coach or dsa-tutor rather than a full debug-coach session."
A049,test-case-coach,true,"My solution passes the sample inputs, but can you help me figure out what test cases I'm still missing?",Learner has a working implementation and wants gaps in its test coverage found — the core test-case-coach use case.
A050,test-case-coach,true,Help me design a small but thorough set of test cases for my interval-merging function before I submit it.,"Explicit request to design a compact, justified test suite for an existing implementation."
A051,test-case-coach,true,I want to stress-test the assumptions my algorithm makes — what kinds of inputs should I be trying to break it with?,"Hypothetical adversarial-input design against an existing approach's assumptions, with no observed failure yet; squarely test-case-coach, not debug-coach."
A052,test-case-coach,true,I wrote about thirty test cases for this and most feel redundant — can you help me cut them down to the ones that actually matter?,Suite minimization: distinguishing distinct behavioral categories from redundant variations is part of test-case-coach's protocol.
A053,test-case-coach,false,What edge cases does this problem statement imply before I start solving anything?,"Reading the edge cases implied by a raw statement before any approach exists is problem-decoder's job, not executable test design for an existing approach."
A054,test-case-coach,false,"Can you help me trace my algorithm on the input [1, 2, 2, 3] step by step?","One concrete input traced through explicit state is dry-run-coach's job; test-case-coach decides which inputs are worth that attention, not how to trace one."
A055,test-case-coach,false,My function returns 7 instead of 5 on this exact input — help me find out why.,"A concrete, already-observed expected-vs-actual failure belongs to debug-coach; test-case-coach hands off the moment a designed case actually fails."
A056,test-case-coach,false,I don't have an approach for this problem yet — what should I even try?,"No approach exists, so there is nothing to test yet; approach-building belongs to dsa-tutor."
A057,test-case-coach,false,"Just generate a complete pytest suite for my function, I don't want to think about the cases.","Learner explicitly opts out of the learning process; test-case-coach's circuit breaker forbids dumping a finished suite, so a plain generation request is not its trigger."
A058,pattern-transfer-coach,true,I just solved Maximum Subarray — can you help me understand the underlying pattern so I recognize it in other problems?,A solved problem plus an explicit request to abstract and recognize the reusable pattern — the core pattern-transfer-coach use case.
A059,pattern-transfer-coach,true,"I finished this sliding window problem. What should tell me a future problem needs the same idea, and when does it not apply?","Request for positive and negative recognition signals after a solved problem, both core pattern-transfer-coach outputs."
A060,pattern-transfer-coach,true,"I solved this one with two pointers. Give me one similar problem to practise adapting the idea, but don't solve it for me.","Explicit request for exactly one cousin problem to adapt after a solve, with the solution withheld — the transfer exercise this skill runs."
A061,pattern-transfer-coach,true,"Now that my solution is done and passing, help me work out which parts of it are reusable structure and which are problem-specific detail.",Separating computational structure from surface story after a completed solve is this skill's abstraction step.
A062,pattern-transfer-coach,false,I haven't cracked this problem yet — can you guide me through solving it?,The original problem is still unsolved; transfer is premature and guided solving belongs to dsa-tutor.
A063,pattern-transfer-coach,false,Explain what a monotonic stack is at a high level.,A generic conceptual definition with no solved problem behind it is not a transfer exercise; no skill in this repository needs to activate.
A064,pattern-transfer-coach,false,Give me a timed mock interview on a problem similar to the one I just solved.,"Recognition under time pressure is mock-interviewer's simulation mode, not untimed reflective transfer."
A065,pattern-transfer-coach,false,What's the time and space complexity of the solution I just finished?,"Complexity derivation for finished code is complexity-coach's job, even though the problem is already solved."
A066,pattern-transfer-coach,false,Can you recommend a list of ten LeetCode problems similar to this one I solved?,"A bulk problem-recommendation request skips the abstraction work; this skill uses exactly one cousin per transfer round, so a plain list request is not its trigger."
A067,dsa-tutor,false,I already have a working approach for this — help me build a systematic test suite for it.,"The approach exists and the request is test design, which is test-case-coach's territory, not dsa-tutor's approach-building."
A068,dry-run-coach,false,Which inputs should I actually include in my test suite for this approach?,Choosing the set of inputs worth testing is test-case-coach's job; dry-run-coach only traces one already-chosen input at a time.
A069,debug-coach,false,Nothing has failed yet — I just want to design adversarial inputs that might break my code.,"No observed concrete failure exists; hypothetical adversarial test design against assumptions belongs to test-case-coach, not a debug-coach bug hunt."
A070,dsa-tutor,false,I already solved it — now help me abstract the pattern and try adapting it to one similar problem.,"The problem is solved and the request is a full transfer exercise, which is pattern-transfer-coach's job rather than a new dsa-tutor session."
A071,mock-interviewer,false,"I solved this problem and want to practise recognizing the same pattern in a similar one, no timer or pressure.","Untimed, reflective pattern-recognition practice after a solve is pattern-transfer-coach's mode, explicitly not an interview simulation."
A072,problem-decoder,false,My solution already works — help me pick the concrete test inputs I should run it against.,"The problem is long since decoded; selecting executable test inputs for an existing solution is test-case-coach's job, not statement reading."
A073,code-review-coach,true,"Here's a small PR from our notification service — can you walk me through reviewing it one concern at a time instead of listing everything you see?","Existing non-DSA code with an explicit request for guided, one-concern-at-a-time review practice rather than a dumped findings list — the core code-review-coach use case."
A074,code-review-coach,true,"I keep approving PRs without really seeing the problems. Can we practise on this diff so I learn to spot correctness and maintainability risks myself?","Learner wants to build review judgment on a real diff — discovering risks themselves is exactly what this skill protects."
A075,code-review-coach,true,"My review comments always get pushback for being vague. Using this function I'm reviewing at work, can you coach me to back my comments with actual evidence?","Request to practise evidence-backed review commenting on specific submitted code, a core code-review-coach output."
A076,code-review-coach,true,"A teammate says this module needs the Factory pattern. Help me reason through whether the code actually justifies it — don't just tell me the answer.","A pattern proposal against specific code, with the learner wanting to weigh the design pressure themselves — the skill's anti-cargo-culting exercise."
A077,code-review-coach,false,"This endpoint returns a 500 on this exact request when I expected a 200 — help me figure out why.","A concrete, already-observed expected-vs-actual failure on a specific input belongs to debug-coach, not static review."
A078,code-review-coach,false,Help me design a thorough test suite for this payment module before we ship it.,"Systematic executable suite design for existing code is test-case-coach's protocol; review may end with one verification idea per finding, not a suite."
A079,code-review-coach,false,"What's the time and space complexity of this data-processing function? That's all I need to know.","A complexity-only question about working code is complexity-coach's drill, not a broad review session."
A080,code-review-coach,false,Explain the Strategy pattern to me at a high level.,"A generic pattern explanation with no submitted code or design context behind it; no skill in this repository needs to activate."
A081,code-review-coach,false,"Review this PR and give me the complete list of every issue you find right now, I don't have time to work through it.","Learner explicitly wants an exhaustive review delivered whole, opting out of the Socratic learning mode this skill runs; a direct service request is not its trigger."
A082,code-review-coach,false,"Just refactor this whole module so it's clean, I don't need to learn anything from it.","A full-rewrite request with no learning process attached is outside every coaching skill in this repository, not a review-practice session."
A083,code-review-coach,false,"I'm stuck on this LeetCode problem — can you help me work through solving it without giving me the answer?","An unsolved DSA problem the learner wants built end to end is dsa-tutor's session, even though guided questioning is requested."
A084,debug-coach,false,"Nothing has failed — I just want to go through this service code carefully with you and learn to spot the risks in it.","No observed expected-vs-actual failure exists; a broad guided inspection of existing code is code-review-coach's territory, not a bug hunt."
A085,test-case-coach,false,"While reviewing this module I keep wondering how its overall quality could improve — can you coach me through inspecting it properly?","Reviewing broad code quality through guided questioning is code-review-coach's job; test-case-coach starts when the learner wants a systematic suite of executable cases."
A086,complexity-coach,false,"Can we go through this whole PR together — correctness, readability, design — one thing at a time?","A broad multi-lens review of a PR is code-review-coach's session; complexity-coach applies only when Big-O derivation is the question itself."
A087,dsa-tutor,false,"I want to practise reviewing this API handler from our codebase, question by question, without you just fixing it.","Reviewing existing non-DSA application code is outside dsa-tutor's end-to-end DSA scope; guided review practice belongs to code-review-coach."
A088,specification-coach,true,"The ticket just says ""add CSV export to the orders page"" — help me define it properly before I hand it to an agent, I want to make the decisions myself.","A vague feature request the learner wants turned into an implementable definition, with the learner owning the decisions — the core specification-coach use case."
A089,specification-coach,true,"Here's a GitHub issue a teammate filed. It's too vague for an implementation agent to act on — can you question me until it's actually specified?","An underspecified issue that needs clarification before implementation, resolved through guided questioning rather than a generated spec."
A090,specification-coach,true,"I wrote some requirements for this feature but they're all things like ""should be fast and intuitive"" — coach me into turning them into acceptance criteria I could actually test.","Turning vague intent into observable pass/fail acceptance criteria before implementation is this skill's acceptance-criteria discipline."
A091,specification-coach,true,"Help me work out what's in scope and what's explicitly a non-goal for this notifications change, one question at a time — don't write the spec for me.","Scope and non-goal definition before coding, with an explicit request for one-question-at-a-time coaching rather than a delivered artifact."
A092,specification-coach,true,"Before I let Claude Code start on this change request, I want to be sure I've defined the behaviour well enough to verify it. Walk me through it.","Pre-implementation handoff preparation — defining observable behaviour well enough to check the result — is exactly what this skill produces."
A093,specification-coach,true,"I keep letting the model decide product behaviour for me. For this feature request, ask me the questions instead of guessing the answers.","Explicit desire to author the decisions rather than receive inferred requirements, the behavioural contrast this skill exists to enforce."
A094,specification-coach,false,"Here's the PR that implemented the export feature — help me review it one concern at a time.","Code already exists and the learner wants to discover risks in it; that is code-review-coach's session, after implementation rather than before."
A095,specification-coach,false,"The export returns an empty file for this specific account when I expected 200 rows — help me work out why.","A concrete observed expected-vs-actual failure on a specific input is debug-coach's pipeline, not a specification problem."
A096,specification-coach,false,"The export endpoint works — now help me design a systematic test suite for it.","A systematic executable suite around existing working code is test-case-coach's protocol; acceptance criteria for unbuilt behaviour are not a test suite."
A097,specification-coach,false,"Here's a LeetCode problem statement — help me pin down the inputs, outputs, and constraints before I solve it.","Reading a DSA problem statement before solving is problem-decoder's job; this skill handles real-world feature and change requests, not puzzle statements."
A098,specification-coach,false,"Help me solve this sliding-window problem without giving me the answer.","An unsolved DSA problem the learner wants built end to end is dsa-tutor's session, not product-specification work."
A099,specification-coach,false,"Write me a complete PRD for an orders CSV export feature — I don't have time to work through it.","The learner explicitly wants a finished artifact delivered immediately, opting out of the Socratic learning mode; a direct service request is not this skill's trigger."
A100,specification-coach,false,"Just implement CSV export on the orders page for me.","A direct implementation request with no definition process attached is outside every coaching skill in this repository and should be named as such."
A101,specification-coach,false,"Explain what requirements engineering is and why acceptance criteria matter.","A generic conceptual explanation with no actual request behind it; no skill in this repository needs to activate."
A102,specification-coach,false,"This spec is already finished and approved — just build it.","A complete specification needing only implementation has nothing left to define; the skill's work is already done, and it never writes the implementation."
A103,code-review-coach,false,"Nothing's built yet — I have a vague feature request and need to define the behaviour before anyone writes code.","No code, diff, or PR exists to review; defining observable behaviour before implementation is specification-coach's territory."
A104,test-case-coach,false,"There's no implementation yet — I need observable acceptance criteria for a feature we haven't built.","Acceptance criteria for unbuilt behaviour are part of a specification; test-case-coach requires an existing approach or implementation to design a suite around."
A105,debug-coach,false,"Nothing has failed — the team just can't agree on what this feature is supposed to do in the first place.","Disputed or undefined desired behaviour is a specification problem, not a bug; debug-coach starts only from a concrete observed failure."
A106,problem-decoder,false,"Here's a feature request from our product team — help me pin down exactly what it's asking for before we build it.","A real-world product change request is not a DSA problem statement; specification-coach handles feature ambiguity, problem-decoder reads LeetCode-style statements."
